CryoSleep,Destination,Age,Spa,Transported,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars
False,TRAPPIST-1e,0.49367088607594933,0.0,False,False,True,False
False,TRAPPIST-1e,0.3037974683544304,0.024500178507675833,True,True,False,False
False,TRAPPIST-1e,0.7341772151898734,0.2996697607997144,False,False,True,False
False,TRAPPIST-1e,0.4177215189873418,0.14856301320956802,False,False,True,False
False,TRAPPIST-1e,0.20253164556962025,0.025214209210996073,True,True,False,False
False,PSO J318.5-22,0.5569620253164557,0.012986433416636916,True,True,False,False
False,TRAPPIST-1e,0.3291139240506329,0.0,True,True,False,False
True,TRAPPIST-1e,0.35443037974683544,0.0,True,True,False,False
False,TRAPPIST-1e,0.4430379746835443,0.009639414494823279,True,True,False,False
True,55 Cancri e,0.17721518987341772,0.0,True,False,True,False
True,TRAPPIST-1e,0.43037974683544306,0.0,True,False,True,False
False,55 Cancri e,0.569620253164557,0.004908961085326669,True,False,True,False
False,TRAPPIST-1e,0.4050632911392405,0.0,True,False,False,True
False,TRAPPIST-1e,0.6075949367088608,0.0,False,True,False,False
False,TRAPPIST-1e,0.35443037974683544,8.925383791503035e-05,True,True,False,False
False,TRAPPIST-1e,0.3924050632911392,0.0,False,True,False,False
False,55 Cancri e,0.34177215189873417,0.0,False,False,False,True
False,55 Cancri e,0.3037974683544304,0.0,False,True,False,False
True,TRAPPIST-1e,0.569620253164557,0.0,True,False,False,True
False,TRAPPIST-1e,0.0,0.0,True,True,False,False
False,55 Cancri e,0.17721518987341772,0.0,False,True,False,False
True,TRAPPIST-1e,0.012658227848101266,0.0,False,True,False,False
True,55 Cancri e,0.620253164556962,0.0,False,True,False,False
True,55 Cancri e,0.3670886075949367,0.0,False,True,False,False
False,TRAPPIST-1e,0.12658227848101267,0.0,True,True,False,False
True,PSO J318.5-22,0.012658227848101266,0.0,False,True,False,False
False,TRAPPIST-1e,0.08860759493670886,0.0,False,True,False,False
False,TRAPPIST-1e,0.26582278481012656,0.0,False,False,False,True
True,TRAPPIST-1e,0.7848101265822784,0.0,True,False,True,False
False,TRAPPIST-1e,0.18987341772151897,0.044537665119600146,False,True,False,False
False,55 Cancri e,0.43037974683544306,0.06417350946090682,False,False,True,False
False,TRAPPIST-1e,0.5443037974683544,0.0021420921099607284,False,False,False,True
False,TRAPPIST-1e,0.4050632911392405,0.01950196358443413,False,True,False,False
False,TRAPPIST-1e,0.5949367088607594,0.0,True,False,False,True
False,TRAPPIST-1e,0.02531645569620253,0.0,True,False,False,True
False,TRAPPIST-1e,0.25316455696202533,0.044180649767940026,True,False,False,True
True,55 Cancri e,0.35443037974683544,0.0,True,False,True,False
False,55 Cancri e,0.2911392405063291,0.04244019992859693,False,False,False,True
False,55 Cancri e,0.18987341772151897,0.0008925383791503035,False,True,False,False
False,55 Cancri e,0.25316455696202533,0.11629775080328454,False,True,False,False
True,55 Cancri e,0.37974683544303794,0.0,False,True,False,False
True,TRAPPIST-1e,0.21518987341772153,0.0,True,True,False,False
False,TRAPPIST-1e,0.569620253164557,0.1120581935023206,False,False,True,False
True,TRAPPIST-1e,0.6962025316455696,0.0,False,True,False,False
True,55 Cancri e,0.05063291139240506,0.0,True,True,False,False
True,PSO J318.5-22,0.26582278481012656,0.0,True,True,False,False
False,TRAPPIST-1e,0.26582278481012656,0.0,False,False,False,True
True,TRAPPIST-1e,0.24050632911392406,0.0,True,False,False,True
False,55 Cancri e,0.4430379746835443,0.0,False,True,False,False
False,TRAPPIST-1e,0.7088607594936709,0.061540521242413423,False,True,False,False
False,TRAPPIST-1e,0.34177215189873417,0.20898786147804357,False,True,False,False
False,TRAPPIST-1e,0.31645569620253167,0.0,True,True,False,False
False,TRAPPIST-1e,0.02531645569620253,0.0,True,False,True,False
True,TRAPPIST-1e,0.4810126582278481,0.0,True,False,True,False
False,TRAPPIST-1e,0.34177215189873417,0.01276329882184934,True,False,True,False
True,PSO J318.5-22,0.45569620253164556,0.0,False,True,False,False
False,TRAPPIST-1e,0.27848101265822783,0.0614512674044984,False,True,False,False
False,TRAPPIST-1e,0.7848101265822784,0.000758657622277758,False,True,False,False
True,TRAPPIST-1e,0.18987341772151897,0.0,True,False,False,True
True,TRAPPIST-1e,0.4177215189873418,0.0,True,True,False,False
False,TRAPPIST-1e,0.7848101265822784,0.0,False,True,False,False
True,PSO J318.5-22,0.0,0.0,True,True,False,False
False,TRAPPIST-1e,0.22784810126582278,0.0,True,True,False,False
False,55 Cancri e,0.26582278481012656,0.0,False,True,False,False
False,TRAPPIST-1e,0.34177215189873417,0.01129061049625134,False,False,False,True
False,TRAPPIST-1e,0.5316455696202531,0.00026776151374509105,True,True,False,False
False,TRAPPIST-1e,0.24050632911392406,4.4626918957515175e-05,False,True,False,False
False,TRAPPIST-1e,0.21518987341772153,0.0,False,True,False,False
False,TRAPPIST-1e,0.17721518987341772,0.0,False,True,False,False
False,PSO J318.5-22,0.46835443037974683,0.0,False,False,False,True
False,TRAPPIST-1e,0.5316455696202531,0.0,True,False,True,False
False,TRAPPIST-1e,0.34177215189873417,0.0,True,False,False,True
False,TRAPPIST-1e,0.35443037974683544,0.0,True,False,False,True
False,TRAPPIST-1e,0.4810126582278481,0.014325240985362371,False,False,True,False
True,TRAPPIST-1e,0.16455696202531644,0.0,False,True,False,False
